Country,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Confirmedlastweek,WHO Region
Syria,674,40,0,634,24,2,0,522,Eastern Mediterranean
Taiwan*,462,7,440,15,4,0,0,451,Western Pacific
Tajikistan,7235,60,6028,1147,43,1,58,6921,Europe
Tanzania,509,21,183,305,0,0,0,509,Africa
Thailand,3297,58,3111,128,6,0,2,3250,South-East Asia
Timor-Leste,24,0,0,24,0,0,0,24,South-East Asia
Togo,874,18,607,249,6,0,8,783,Africa
Trinidad and Tobago,148,8,128,12,1,0,0,137,Americas
Tunisia,1455,50,1157,248,3,0,15,1381,Eastern Mediterranean
Turkey,227019,5630,210469,10920,919,17,982,220572,Europe
US,4290259,148011,1325804,2816444,56336,1076,27941,3834677,Americas
Uganda,1128,2,986,140,13,0,4,1069,Africa
Ukraine,67096,1636,37202,28258,835,11,317,60767,Europe
United Arab Emirates,59177,345,52510,6322,264,1,328,57193,Eastern Mediterranean
United Kingdom,301708,45844,1437,254427,688,7,3,296944,Europe
Uruguay,1202,35,951,216,10,1,3,1064,Americas
Uzbekistan,21209,121,11674,9414,678,5,569,17149,Europe
Venezuela,15988,146,9959,5883,525,4,213,12334,Americas
Vietnam,431,0,365,66,11,0,0,384,Western Pacific
West Bank and Gaza,10621,78,3752,6791,152,2,0,8916,Eastern Mediterranean
Western Sahara,10,1,8,1,0,0,0,10,Africa
Yemen,1691,483,833,375,10,4,36,1619,Eastern Mediterranean
Zambia,4552,140,2815,1597,71,1,465,3326,Africa
Zimbabwe,2704,36,542,2126,192,2,24,1713,Africa
